Game,Date,GameType,MyCoryat,CombinedCoryat,Contestant1Coryat,Contestant2Coryat,Contestant3Coryat,Contestant1FJ,Contestant2FJ,Contestant3FJ,Contestant1Win,Contestant2Win,Contestant3Win
8926,9/11/2023,Second Chance Tournament,18000,30600,14600,7400,8600,T,F,T,T,F,F
8927,9/12/2023,Second Chance Tournament,29400,47600,9200,20200,18200,T,T,T,F,T,F
8928,9/13/2023,Second Chance Tournament,24600,39000,7800,16200,15000,T,F,F,T,F,F
8929,9/14/2023,Second Chance Tournament,22200,36600,17000,10600,9000,F,T,F,F,T,F
8930,9/15/2023,Second Chance Tournament,24000,44400,13800,7800,22800,T,F,T,F,F,T
8931,9/18/2023,Second Chance Tournament,21200,40600,8800,19600,12200,F,F,T,F,T,F
8932,9/19/2023,Second Chance Tournament,22600,26800,9000,5200,12600,T,F,F,T,F,F
8933,9/20/2023,Second Chance Tournament,23200,31200,9800,4400,17000,T,T,T,F,F,T
8934,9/21/2023,Second Chance Tournament,20400,33600,16600,6200,10800,F,F,T,F,F,T
8935,9/22/2023,Second Chance Tournament,19000,30000,10200,8200,11600,T,T,F,F,F,T
8936,9/25/2023,Second Chance Tournament,18400,34800,11200,16200,7400,T,T,T,F,T,F
8937,9/26/2023,Second Chance Tournament,20200,38000,7200,13200,17600,T,T,F,F,T,F
8938,9/27/2023,Second Chance Tournament,19800,23400,10400,6600,6400,T,T,T,T,F,F
8939,9/28/2023,Second Chance Tournament,21400,41000,11400,19000,10600,T,T,T,F,T,F
8940,9/29/2023,Second Chance Tournament,22400,38600,11000,12800,14800,F,F,F,F,T,F
8941,10/2/2023,Champions Wildcard Tournament,16400,25200,9200,3600,12400,F,F,F,F,F,T
8942,10/3/2023,Champions Wildcard Tournament,12600,31800,16800,6400,8600,F,F,T,T,F,F
8943,10/4/2023,Champions Wildcard Tournament,26000,34200,6000,18000,10200,F,F,T,F,T,F
8944,10/5/2023,Champions Wildcard Tournament,25400,36600,15800,10200,10600,F,F,T,F,F,T
8945,10/6/2023,Champions Wildcard Tournament,18200,41800,16200,16400,9200,F,F,T,T,F,F
8946,10/9/2023,Champions Wildcard Tournament,18400,26200,5200,6800,14200,F,F,T,F,F,T
8947,10/10/2023,Champions Wildcard Tournament,21200,35200,17200,9800,8200,F,T,F,F,T,F
8948,10/11/2023,Champions Wildcard Tournament,22400,43000,22800,12600,7600,F,F,F,T,F,F
8949,10/12/2023,Champions Wildcard Tournament,19000,43200,19600,7200,16400,F,T,T,F,F,T
8950,10/13/2023,Champions Wildcard Tournament,16400,34200,16000,8400,9800,F,F,F,T,F,F
8951,10/16/2023,Champions Wildcard Tournament,20800,38000,12200,11400,14400,T,F,F,T,F,F
8952,10/17/2023,Champions Wildcard Tournament,15200,28000,3200,4800,20000,F,F,T,F,F,T
8953,10/18/2023,Champions Wildcard Tournament,20000,40200,10600,16600,13000,T,T,T,F,T,F
8954,10/19/2023,Champions Wildcard Tournament,22600,42600,15000,16800,10800,F,F,T,F,T,F
8955,10/20/2023,Champions Wildcard Tournament,25600,28000,15800,3600,8600,T,T,F,T,F,F
8956,10/23/2023,Champions Wildcard Tournament,23800,24800,9800,7400,7600,T,F,T,F,F,T
